DIALOGS,GPT-3 PREDICTION,ACTUAL,ACCURACY
1,Esophagitis,Esophagitis,(54/61) * 100 = 88.5%
2,Esophagitis,Esophagitis,
3,GIL,Esophagitis,
4,Esophagitis,Esophagitis,
5,Esophagitis,Esophagitis,
200,Conjunctivitis,Conjunctivitis,
201,Conjunctivitis,Conjunctivitis,
202,Conjunctivitis,Conjunctivitis,
203,Conjunctivitis,Conjunctivitis,
204,Conjunctivitis,Conjunctivitis,
205,Conjunctivitis,Conjunctivitis,
165,Dermatitis,Dermatitis,
166,Infection,Dermatitis,
167,Dermatitis,Dermatitis,
168,Dermatitis,Dermatitis,
169,Dermatitis,Dermatitis,
183,External otitis,External otitis,
184,External otitis,External otitis,
185,Ear infection,External otitis,
187,Ear infection,External otitis,
188,External otitis,External otitis,
125,Thyroiditis,Thyroiditis,
126,Thyroiditis,Thyroiditis,
127,Thyroiditis,Thyroiditis,
128,Thyroiditis,Thyroiditis,
129,Thyroiditis,Thyroiditis,
148,Traumatic brain injury,Traumatic brain injury,
147,Traumatic brain injury,Traumatic brain injury,
146,Traumatic brain injury,Traumatic brain injury,
145,Traumatic brain injury,Traumatic brain injury,
144,Traumatic brain injury,Traumatic brain injury,
93,Pneumonia,Pneumonia,
94,Unrecognised,Pneumonia,
95,Pneumonia,Pneumonia,
96,Pneumonia,Pneumonia,
97,Infection,Pneumonia,
114,Rhinitis,Rhinitis,
115,Rhinitis,Rhinitis,
116,Rhinitis,Rhinitis,
117,Rhinitis,Rhinitis,
118,Rhinitis,Rhinitis,
60,Asthma,Asthma,
61,Asthma,Asthma,
62,Asthma,Asthma,
64,Asthma,Asthma,
67,Asthma,Asthma,
51,Enteritis,Enteritis,
50,Enteritis,Enteritis,
49,Enteritis,Enteritis,
48,Enteritis,Enteritis,
47,Enteritis,Enteritis,
77,Coronary heart disease,Coronary heart disease,
78,Anxiety,Coronary heart disease,
79,Coronary heart disease,Coronary heart disease,
80,Coronary heart disease,Coronary heart disease,
221,Mastitis,Mastitis,
222,Mastitis,Mastitis,
223,Mastitis,Mastitis,
229,Mastitis,Mastitis,
230,Mastitis,Mastitis,
